,Unnamed: 0,id,user_activity,pol_interest,privacy_preference,user_satisfaction,issue_0,issue_1,issue_2,issue_3,issue_4,issue_5,pol_inclination
0,0,0,0.694367,0.453498,0.463399,0,0.189232,0.3531119999999998,0.1872859999999998,-0.852568,-0.3407180000000001,-0.3525859999999999,-0.1360403333333334
1,1,1,0.786099,0.637218,0.345457,0,0.1265020000000001,-0.1857820000000001,-0.000902,0.324246,-0.024638,-0.4011899999999999,-0.02696066666666665
2,2,2,0.889255,0.505112,0.478552,0,0.267832,-0.3908979999999999,0.313542,-0.0982739999999999,-0.206426,-0.2769159999999999,-0.06518999999999996
3,3,3,1.0,0.584127,0.451143,0,0.4146939999999999,0.1040179999999999,-0.1878760000000001,0.146276,0.0589599999999999,0.166082,0.11702566666666663
4,4,4,1.0,0.54586,0.513887,0,0.341458,-0.2116839999999999,0.2016839999999999,-0.1400319999999999,-0.011408,-0.022154,0.026310666666666677
5,5,5,1.0,0.523524,0.479983,0,-0.2477439999999999,0.381218,0.0895739999999998,0.4176280000000001,-0.273376,-0.0692579999999999,0.04967366666666669
6,6,6,0.954391,0.481606,0.77394,0,0.042772,-0.162846,-0.244874,-0.2605999999999999,0.3511659999999998,-0.2389519999999999,-0.08555566666666665
7,7,7,1.0,0.586624,0.683371,0,-0.358992,0.028942,-0.117088,-0.469848,-0.0613,-0.260304,-0.20643166666666665
8,8,8,1.0,0.530223,0.384983,0,-0.1025519999999999,0.6077759999999999,0.339588,0.0706219999999999,0.08094,-0.2909999999999999,0.11756233333333332
9,9,9,0.971234,0.371552,0.338944,0,-0.013962,-0.052764,0.2981419999999999,0.11976,-0.5438080000000001,-0.0303959999999999,-0.03717133333333334
10,10,10,0.776978,0.480744,0.511054,0,-0.304494,-0.046516,0.042316,0.040184,-0.29078,-0.1335379999999999,-0.11547133333333331
11,11,11,0.803785,0.623505,0.522691,0,0.153834,0.2904139999999999,0.0199019999999998,0.1733199999999999,-0.110312,0.2327760000000001,0.1266556666666666
12,12,12,0.992509,0.323643,0.250557,0,-0.0240699999999999,-0.087798,-0.2488180000000001,0.696536,-0.193408,-0.37212,-0.03827966666666666
13,13,13,1.0,0.332719,0.554113,0,-0.1104819999999999,-0.917274,-0.3444960000000001,-0.1226659999999999,0.122498,-0.0887179999999999,-0.24352299999999996
14,14,14,0.445963,0.40394,0.580177,0,0.210882,0.077766,-0.6743200000000001,0.0037679999999999,-0.198706,-0.414652,-0.16587700000000005
15,15,15,0.705202,0.406262,0.442447,0,0.066788,-0.07978,0.1220939999999999,-0.1418239999999999,0.0786,-0.458456,-0.068763
16,16,16,0.995572,0.325628,0.343315,0,0.226782,-0.295726,0.0780179999999999,-0.0965659999999999,0.0070939999999999,-0.391594,-0.07866533333333335
17,17,17,0.593858,0.72944,0.494823,0,-0.324248,-0.022808,-0.056982,0.2297679999999999,0.0342199999999999,0.082816,-0.009539000000000028
18,18,18,1.0,0.299934,0.396818,0,0.1542019999999999,0.150636,0.0549259999999998,0.5528279999999999,-0.1182200000000001,0.056076,0.14174133333333325
19,19,19,0.637879,0.744847,0.384993,0,-0.1840979999999999,0.158404,-0.25445,-0.15019,-0.3705400000000001,-0.0632839999999999,-0.14402633333333334
20,20,20,0.735955,0.271448,0.279549,0,0.0887219999999999,-0.2542200000000001,0.1120919999999998,-0.423268,-0.160388,0.0466440000000001,-0.09840300000000003
21,21,21,1.0,0.459951,0.616004,0,0.048702,-0.000352,-0.167008,-0.4087659999999999,0.010318,0.131874,-0.06420533333333331
22,22,22,0.923736,0.50675,0.233055,0,-0.0514639999999999,-0.088636,-0.3238640000000001,-0.2323699999999999,-0.1591340000000001,-0.2550999999999999,-0.18509466666666663
23,23,23,1.0,0.394849,0.496138,0,-0.1898959999999999,-0.3416600000000001,-0.030874,-0.644106,-0.396932,-0.771226,-0.3957823333333333
24,24,24,1.0,0.415075,0.32024,0,0.1956980000000001,-0.2799640000000001,0.7877739999999998,-0.073002,0.4307399999999999,-0.0487559999999999,0.1687483333333333
25,25,25,1.0,0.579584,0.396213,0,-0.0977679999999999,-0.379016,-0.0298760000000001,-0.471144,0.3013979999999998,0.061328,-0.10251300000000003
26,26,26,0.9326,0.564066,0.509527,0,-0.2119499999999999,-0.333866,-0.045596,-0.0124319999999999,0.5274099999999999,-0.114174,-0.03176799999999996
27,27,27,0.807175,0.58122,0.158106,0,-0.0612179999999999,-0.211544,0.0386259999999998,-0.100854,0.177802,-0.0235419999999999,-0.03012166666666667
