,stance,issue
722,-0.4597689259315394,2
558,-0.45554778417531266,5
673,-0.6725283768020331,4
503,-0.5972075895397257,3
698,-0.6987812405113438,4
588,-0.368671750477433,0
462,-0.6133096276006007,1
539,-0.1776496033771478,4
60,0.7200112594922321,5
777,-0.6638214052527943,0
172,0.3385395161574166,1
720,-0.7448663875693718,0
17,0.5934719248405614,3
380,0.364569150482583,3
96,0.6723982583437552,1
302,0.8140673284809239,3
800,-0.856849940968461,4
784,-0.785116601352625,0
808,-0.3911696068213485,2
498,-0.272472234202297,4
597,-0.24858354199426386,5
800,-0.8283617398212596,3
490,-0.6929328623690094,5
527,-0.7084493649319653,4
448,-0.17273026781841316,3
543,-0.5872474815358266,1
188,0.9312252677958398,4
38,0.46000496887882986,3
523,-0.8382532520238285,0
199,0.33556407624348783,1
691,-0.33134869137811157,3
273,0.6505526354336484,5
716,-0.570672031342716,0
424,-0.2454238973215856,0
719,-0.5565534692374315,1
231,0.06242714526766455,3
774,-0.5516448157354277,4
1,0.525110272588445,1
582,-0.4893655114100552,1
457,-0.10523970992785976,4
387,0.445428802821714,2
799,-0.6717139669798796,1
312,0.7019543278271814,4
266,0.7497191416186759,4
249,0.35705656900694155,1
281,0.2620919234288839,2
82,0.32340947403570913,1
636,-0.6735081711855369,4
183,0.6867759327505335,1
707,-0.3708080602550089,2
151,0.38228109837848406,1
419,-0.8268211695935663,0
802,-0.7165004343530808,4
573,-0.6211213268296392,2
445,-0.46915969271054336,5
658,-0.6752895828635379,4
318,0.5279429272912621,0
28,0.4806743082763691,1
318,0.6460201611033316,5
675,-0.4085632238477624,0
15,0.5488473996339117,2
156,0.42867220136072615,0
60,0.5529005333876906,4
361,0.7780634622790787,3
436,-0.5364114960136145,1
445,-0.6236694595463488,0
375,0.5097562278298179,3
60,0.6556861822047153,0
591,-0.3396606751164205,4
291,0.5566095071049426,4
68,0.6497224834667291,2
109,0.6768472426492356,0
70,0.7687609127976117,3
781,-0.5059870434417352,0
370,0.501250379124737,0
803,-0.4120280940784221,4
237,0.5054941180776349,4
381,0.415129925829284,5
701,-0.4264547591444511,2
582,-0.2714905299346096,5
740,-0.6008443027930584,1
268,0.8263383728988211,0
615,-0.33556407624348783,1
499,-0.5525539035687053,0
198,0.6698220986754573,1
684,-0.5106496574539897,5
558,-0.6249209540989801,1
329,0.36852787469457005,5
235,0.7807236837578764,4
686,-0.5610239140800566,2
180,0.534074511145095,0
277,0.4108904253226525,4
272,0.42807434197768296,2
39,0.34468415053956264,2
261,0.6982998246978711,1
661,-0.5689126602106931,5
22,0.5404738904428584,4
521,-0.3206139517608856,2
52,0.21735651744187928,0
235,0.5060185289344472,2
323,0.3999019128487934,5
649,-0.4298251349381003,0
129,0.2754896226296149,0
643,-0.7212349224732192,4
204,0.4124980757247008,1
199,0.49170439734904553,5
319,0.5321439256884406,3
256,0.9545456450898725,0
399,0.6750176725786521,0
31,0.5712054238417572,5
387,0.6804430972803003,1
397,0.2851443858304849,5
222,0.443163873940327,2
55,0.7168976356331576,3
795,-0.5090606831550633,2
394,0.611673221283538,5
335,0.5172968712977206,1
622,-0.7258901614403539,1
721,-0.458722101421163,0
153,0.4732831470211547,1
504,-0.6196737945736939,2
96,0.4185550679909178,5
68,0.29025508934881333,3
782,0.0,5
500,-0.4578284049300635,4
829,-0.3823280334364295,1
807,-0.7584300494355598,3
376,0.36718250058475793,3
794,-0.6888974022681369,4
603,-0.5328672368922688,0
339,0.33695994543817054,5
139,0.36515800666417464,3
634,-0.7302495397617247,1
328,0.4767449394667328,3
333,0.5117950196233962,1
660,-0.3779265184846426,0
194,0.5526941606867002,0
324,0.7307157571320592,5
512,-0.4185550679909178,5
299,0.27324828536997303,3
687,-0.2844991976412673,2
154,0.6764980896941936,3
434,-0.5266740779658278,4
555,-0.5930314524594942,5
681,-0.3663270066966627,3
321,0.4412307967409191,0
826,-0.425843986359545,3
714,-0.6165555693367863,4
33,0.4232644432838405,1
196,0.3177073861546412,4
62,0.2871696881024808,2
770,-0.198390419962986,0
727,-0.8817182385467327,4
686,-0.43242681365065705,0
357,0.4753511361369017,2
445,-0.3022252127736069,4
474,-0.3392127971391024,0
729,-0.3404195988006393,4
742,-0.3819846114583199,5
129,0.494817582039897,4
268,0.6320030303111415,3
411,0.6622487514372902,5
804,-0.4272242595174723,1
200,0.37812486184163474,2
402,0.3195769034544852,1
99,0.5689648617548753,4
339,0.37819169311665496,4
52,0.007845819072341189,5
522,-0.3951201512108693,4
250,0.38674343553437307,5
476,-0.6383100622515022,1
356,0.6642162800224741,0
762,-0.518460453986015,2
479,-0.4813065628668126,1
714,-0.8931963761261044,1
654,-0.5550036866301702,3
457,-0.39965557561571396,3
360,0.2430194425987648,5
433,-0.7914534112697784,4
400,0.6609468690728804,4
389,0.22934603015351201,4
534,-0.7473630754301515,4
624,-0.20155627360618347,0
444,-0.33768015197156837,5
509,-0.30546462010195125,5
220,0.3133149783614443,1
402,0.5338973388376981,0
536,-0.5087070807288162,2
713,-0.2575948800102492,3
762,-0.5431697747180806,5
282,0.4870029389359808,0
162,0.61660891095411,2
675,-0.615450644207018,4
459,-0.6904154199288088,3
645,-0.7125483824399865,4
562,-0.4968812274283029,1
212,0.5729879282915034,0
793,-0.9140416343457027,4
470,-0.6091344864901128,3
87,0.5068236954637602,0
230,0.5941469652645928,4
474,-0.5922704135095924,4
521,-0.4781679801501337,1
627,-0.44246510472344275,5
361,0.49599539971596096,2
263,0.6976300552899103,4
374,0.48326888635211146,4
235,0.6297089766384483,3
584,-0.27345329929402673,4
611,-0.5936052319737679,0
309,0.9376087113559289,1
270,0.3146496193752546,1
559,-0.5836202668495615,1
542,-0.4548579816847767,1
345,0.37615863109182673,4
829,-0.7821621751725275,0
343,0.6438070515361668,3
692,-0.7737586705104771,3
681,-0.48912970174954473,4
351,0.5864790587852079,0
734,-0.3639535329695314,1
189,0.49336989775301454,0
390,0.5917807185561945,3
12,0.506750761974586,2
400,0.5725582991887269,2
100,0.40225004635391726,4
104,0.6970281265215988,0
211,0.43850231210355667,0
42,0.609987511934508,4
441,-0.37830327109617456,5
509,-0.5153971562010875,0
464,-0.718681095585371,1
410,0.36748778491998474,0
221,0.10172499269912975,5
783,-0.3440535745783776,1
261,0.5479481273557603,0
169,0.6504930091806627,3
640,-0.2522025845210739,1
570,-0.44176223065011205,0
252,0.6172631470185982,3
560,-0.4440151639373004,5
702,-0.5839754994329319,0
100,0.5097974238966723,5
503,-0.6244119643315882,1
30,0.7179553450267226,1
385,0.20049371594826518,5
775,-0.7127396585716641,4
355,0.5231162226867485,5
198,0.2927473452473166,5
648,-0.5306446327236731,3
680,-0.47117353632830616,5
746,-0.441778436710569,2
237,0.5834752344887558,1
172,0.8448520016153758,3
772,-0.6484745777791692,1
378,0.6888974022681369,4
431,-0.21784491898534666,4
739,-0.5670949609201942,3
819,-0.42772733845879435,5
38,0.3868950931233829,5
650,-0.6639954626197294,1
467,-0.16552797697679708,3
295,0.5195828631972391,2
692,-0.9092017427952661,1
