,topic,post_stance,author_id,num_of_agents_received,num_of_agents_not_received,num_of_spreader_agents,num_of_disinterested_agents,network_polarization,net_polarization2,network_homophily,network_homophily2,network_polarity,satisfaction,activity,user_preference
0,6,0.423278,100,68,32,17,49,0.415079,0.38952030142835636,-0.03534865752366238,-0.044647284614960654,0.020968,-0.002941917961165048,0.28294750533651036,0.280707564071299
1,2,-0.480793,101,77,23,18,56,0.414235,0.3885744566629734,-0.03365570599613153,-0.044647284614960654,0.021096,-0.00047874792880258873,0.28359655121636285,0.28256586910701625
2,4,-0.488914,100,66,34,17,47,0.413209,0.38758468983772176,-0.03365570599613153,-0.044647284614960654,0.020925,0.0008808015372168283,0.2836147385950037,0.28304217242708785
3,4,-0.507343,101,67,33,18,48,0.412182,0.3865369668501242,-0.03430975261471963,-0.05175199153250523,0.020958,-0.012258014743411927,0.2872239130756129,0.2819456330299546
4,4,0.403447,102,69,31,17,50,0.413077,0.3874796489872317,-0.03430975261471963,-0.05175199153250523,0.021082,-0.012775347762367086,0.2909720276387197,0.28302402731627735
5,3,0.411111,101,76,24,19,55,0.413893,0.38828069345564864,-0.02643137859289516,-0.05175199153250523,0.021741,-0.021719395480813686,0.29021918041457495,0.27889089551591095
6,1,-0.659161,101,65,35,17,46,0.413039,0.38739303570761485,-0.03281666731088864,-0.05175199153250523,0.022134,-0.01592998868469718,0.2861839668223419,0.27904975215021516
7,3,0.655768,101,74,26,19,53,0.413685,0.3879747474495264,-0.024928610017751016,-0.05175199153250523,0.022691,-0.035214169623208516,0.28555662004038634,0.2744217243832248
8,3,-0.233239,102,74,26,19,53,0.412486,0.3867573540635351,-0.020948464207685383,-0.05175199153250523,0.022987,-0.037662329412852524,0.29162758241779024,0.27451386359188656
9,5,-0.322045,102,69,31,19,50,0.411228,0.38559115147249245,-0.015610888917559025,-0.05175199153250523,0.022848,-0.039512907810910776,0.2890112688255573,0.2756922740287798
10,2,-0.740247,101,77,23,18,56,0.410434,0.38467589274298086,-0.016380898146582803,0.013543269877628125,0.023054,-0.03505510718215442,0.29142723193235337,0.27835408891551117
11,6,-0.545417,100,79,21,18,57,0.409506,0.3836955005861181,-0.016380898146582803,0.013543269877628125,0.022731,-0.043178141146555715,0.28975394233306784,0.27633037241065683
12,6,0.626486,102,86,14,22,63,0.410822,0.3851556642725069,-0.021861598136709588,0.011980794637966,0.023065,-0.05274516536061026,0.2943673442748154,0.27574479172411037
13,5,0.446237,101,80,20,17,58,0.411933,0.3863296108577875,-0.021861598136709588,0.011980794637966,0.02352,-0.036014044863615355,0.29794024330394164,0.28045913500889996
14,5,-0.547266,102,82,18,20,60,0.410924,0.3852675193545195,-0.021861598136709588,0.011159437812684806,0.023116,-0.04324403947295423,0.2916350539835532,0.2796590208474723
15,2,-0.673218,102,87,13,20,64,0.409792,0.38406522075012633,-0.013619870871351605,0.011159437812684806,0.022552,-0.05335101918862691,0.2976795860223882,0.2776283994183024
16,1,-0.333419,101,82,18,15,60,0.409006,0.38321802128353233,-0.016962929403299302,0.011159437812684806,0.022333,-0.045160036993758666,0.303796981305301,0.2802637376707296
17,1,-0.745889,102,70,30,15,51,0.408233,0.3825171923106363,-0.006569648048218916,0.011159437812684806,0.021571,-0.05635273926837725,0.31749312171620014,0.2805160734890375
