,topic,post_stance,author_id,num_of_agents_received,num_of_agents_not_received,num_of_spreader_agents,num_of_disinterested_agents,network_polarization,net_polarization2,network_homophily,network_homophily2,network_polarity,satisfaction,activity,user_preference,[met_stance_sim,met_modularity,met_comm_var,met_edge_rat
0,6,0.401156,102,54,46,10,44,0.423693,0.3998065426168189,-0.021517359622803284,-0.008330315103223497,0.002752,-0.004959763527508092,0.28384429025045355,0.27640318007155495,0.5472146182685639,0.5367183382699329,0.1612440206290689,0.3374340949033392
1,5,-0.40379,101,56,44,10,46,0.423126,0.3991125736789598,-0.021517359622803284,-0.008330315103223497,0.003116,-0.0066900686061026355,0.29055199865207376,0.2762378719994329,0.5472146182685639,0.5367183382699329,0.1612440206290689,0.3374340949033392
2,4,0.663538,102,57,43,10,47,0.423664,0.3996027697573912,-0.021517359622803284,-0.008330315103223497,0.002631,-0.014354636413546002,0.2928023976756267,0.27451286443488043,0.5472146182685639,0.5367183382699329,0.1612440206290689,0.3374340949033392
3,3,0.315262,101,52,48,10,42,0.424039,0.400051656441626,-0.021517359622803284,-0.008330315103223497,0.00251,-0.02035972176953306,0.2922303143818504,0.2722805950927376,0.5472146182685639,0.5367183382699329,0.1612440206290689,0.3374340949033392
4,4,-0.309874,101,53,47,10,43,0.423563,0.39938622294906745,-0.021517359622803284,-0.008330315103223497,0.002845,-0.02298513174410541,0.2977303361387205,0.2713911929660616,0.5472146182685639,0.5367183382699329,0.1612440206290689,0.3374340949033392
5,3,-0.437157,102,62,38,10,52,0.423154,0.39886336337059686,-0.021517359622803284,-0.008330315103223497,0.002975,-0.027438645417244573,0.2991619537090907,0.27112462816023647,0.5472146182685639,0.5367183382699329,0.1612440206290689,0.3374340949033392
6,2,0.478405,100,53,47,10,43,0.423791,0.3995986574882439,-0.025289091720138643,-0.008330315103223497,0.002894,-0.026566050352519657,0.3000653156502474,0.2718889530996832,0.5472146182685639,0.5367183382699329,0.1612440206290689,0.3374340949033392
7,2,-0.80554,102,62,38,10,52,0.423216,0.39902676206340737,-0.035188690177295395,-0.008330315103223497,0.002813,-0.03497587556287564,0.3032515137084999,0.2714618314168353,0.5472146182685639,0.5367183382699329,0.1612440206290689,0.3374340949033392
8,2,0.539635,100,53,47,10,43,0.423866,0.39976205618105437,-0.03529532958189007,-0.008330315103223497,0.002732,-0.03392829278779474,0.30494758749490763,0.2723255967890036,0.5472146182685639,0.5367183382699329,0.1612440206290689,0.3374340949033392
9,2,-0.764244,102,62,38,10,52,0.423305,0.3991901607562177,-0.03529532958189007,-0.008330315103223497,0.002651,-0.04335416191400832,0.3085877257082509,0.27263384296580717,0.5472146182685639,0.5367183382699329,0.1612440206290689,0.3374340949033392
10,2,-0.427428,100,72,28,11,60,0.422622,0.39832042242202287,-0.033075623132215,0.005946132710311254,0.002761,-0.04394666164586224,0.31034799075679464,0.27274056446372674,0.5472146182685639,0.5367183382699329,0.1612440206290689,0.3374340949033392
11,2,0.525412,101,81,19,12,68,0.423426,0.3991869931657133,-0.027087807260896414,0.005946132710311254,0.002873,-0.05564152948605333,0.3122443858634698,0.2701674228795619,0.5472146182685639,0.5367183382699329,0.1612440206290689,0.3374340949033392
12,4,0.384515,100,71,29,12,59,0.423994,0.3998693302349907,-0.02786937412663202,-0.0009241222500713934,0.002845,-0.05530345689705656,0.3131037722712367,0.2705805219758026,0.5472146182685639,0.5367183382699329,0.1612440206290689,0.3374340949033392
13,4,0.537389,102,61,39,9,51,0.424409,0.40033291687641126,-0.02786937412663202,-0.0009241222500713934,0.003142,-0.05172389704499924,0.32188784217414934,0.27185163085698616,0.5472146182685639,0.5367183382699329,0.1612440206290689,0.3374340949033392
14,1,-0.374259,101,65,35,11,54,0.423764,0.39951794833062365,-0.023684849325519324,-0.0009241222500713934,0.002982,-0.04565637937047312,0.32156569331728196,0.2742549428577891,0.5472146182685639,0.5367183382699329,0.1612440206290689,0.3374340949033392
15,5,-0.389475,100,73,27,12,61,0.422976,0.3986192555201662,-0.022644603286412095,0.005946132710311254,0.003225,-0.04512291562105102,0.32282376613281594,0.27533434509079885,0.5472146182685639,0.5367183382699329,0.1612440206290689,0.3374340949033392
16,3,0.495219,101,57,43,10,47,0.423481,0.3992017726963645,-0.022644603286412095,0.005946132710311254,0.003457,-0.05364598936584991,0.3241549641910684,0.2724254312647066,0.5472146182685639,0.5367183382699329,0.1612440206290689,0.3374340949033392
17,3,0.452501,101,57,43,10,47,0.424049,0.39985536746760625,-0.02351921409997113,0.005946132710311254,0.003781,-0.06270017311064881,0.32519164531179284,0.26971448854625996,0.5472146182685639,0.5367183382699329,0.1612440206290689,0.3374340949033392
18,3,-0.680786,101,57,43,10,47,0.423481,0.3992017726963645,-0.022644603286412095,0.005946132710311254,0.003457,-0.048623389222530455,0.32382582492344336,0.2740909920414056,0.5472146182685639,0.5367183382699329,0.1612440206290689,0.3374340949033392
19,2,0.400075,101,77,23,11,65,0.424063,0.3998933844544891,-0.023239298601584052,0.012545549713782729,0.00342,-0.054659178057481904,0.32155913754480253,0.2720295911109849,0.5472146182685639,0.5367183382699329,0.1612440206290689,0.3374340949033392
20,3,-0.531003,100,80,20,13,67,0.423111,0.3988312929512211,-0.01938933422856159,0.02702990567935684,0.003015,-0.05008750412004932,0.32496816025213493,0.2729256316503592,0.5472146182685639,0.5367183382699329,0.1612440206290689,0.3374340949033392
21,1,0.542249,101,70,30,12,58,0.423786,0.39956658706886816,-0.01938933422856159,0.02702990567935684,0.003096,-0.06855399881260596,0.3234505301550476,0.26963906368929147,0.5472146182685639,0.5367183382699329,0.1612440206290689,0.3374340949033392
22,4,-0.761732,102,72,28,10,60,0.423137,0.3988312929512211,-0.02051116355352329,0.02702990567935684,0.002691,-0.06443282595430731,0.3202831244713977,0.2699521884465731,0.5472146182685639,0.5367183382699329,0.1612440206290689,0.3374340949033392
23,2,-0.665281,101,62,38,9,52,0.422705,0.39829478732295404,-0.02051116355352329,0.02702990567935684,0.002575,-0.05676415402874095,0.3161652584519802,0.27157516692553746,0.5472146182685639,0.5367183382699329,0.1612440206290689,0.3374340949033392
24,3,-0.581466,100,77,23,11,65,0.421889,0.3973960945124966,-0.02051116355352329,0.02702990567935684,0.002333,-0.0563713009388966,0.3153806603937278,0.2715980004206831,0.5472146182685639,0.5367183382699329,0.1612440206290689,0.3374340949033392
25,3,-0.498934,100,77,23,11,65,0.421094,0.39650135441981094,-0.016012692389473164,0.02702990567935684,0.002086,-0.055991439063029745,0.3156159283548928,0.2725986649433368,0.5472146182685639,0.5367183382699329,0.1612440206290689,0.3374340949033392
26,3,-0.451893,100,77,23,11,65,0.420362,0.395647593018157,-0.016012692389473164,0.02702990567935684,0.001799,-0.055609834008321785,0.3174576254915484,0.2736618464158287,0.5472146182685639,0.5367183382699329,0.1612440206290689,0.3374340949033392
27,3,-0.539153,100,77,23,11,65,0.419683,0.39482687757432816,-0.018334553455672736,0.03458254449348466,0.001479,-0.055124316873555256,0.32143746381672117,0.27496937497874613,0.5472146182685639,0.5367183382699329,0.1612440206290689,0.3374340949033392
28,3,0.329062,100,77,23,11,65,0.42031,0.3955752358830539,-0.016012692389473164,0.03458254449348466,0.001779,-0.055431911441285245,0.32065830847691534,0.27491140533011,0.5472146182685639,0.5367183382699329,0.1612440206290689,0.3374340949033392
29,3,-0.456047,100,77,23,11,65,0.419632,0.39475509411831655,-0.018334553455672736,0.03458254449348466,0.001458,-0.05501341941631993,0.32127565313710954,0.2753473280589588,0.5472146182685639,0.5367183382699329,0.1612440206290689,0.3374340949033392
30,3,0.490435,100,80,20,12,67,0.420415,0.3955720875823688,-0.017456268295298002,0.02219085932099967,0.001296,-0.05225053677215989,0.3214723397473143,0.27755875326122414,0.5472146182685639,0.5367183382699329,0.1612440206290689,0.3374340949033392
31,1,0.424753,101,74,26,12,62,0.421177,0.39642780018974466,-0.015615672736617828,0.02219085932099967,0.001658,-0.059193144943680935,0.322696164019159,0.2752930922256226,0.5472146182685639,0.5367183382699329,0.1612440206290689,0.3374340949033392
32,4,-0.492923,102,80,20,12,67,0.420616,0.39572843974383975,-0.01738834923961374,0.02219085932099967,0.001613,-0.056117594386531765,0.3213466456365951,0.27649101589820096,0.5472146182685639,0.5367183382699329,0.1612440206290689,0.3374340949033392
33,1,-0.271997,101,75,25,12,63,0.41988,0.39491144627978747,-0.01738834923961374,0.02219085932099967,0.001775,-0.052796709596887745,0.32196459418028434,0.2786242480341233,0.5472146182685639,0.5367183382699329,0.1612440206290689,0.3374340949033392
34,2,0.541772,101,75,25,12,63,0.420337,0.3954953538077016,-0.01738834923961374,0.02219085932099967,0.002167,-0.06613132188113802,0.32337156893756597,0.2764809204404844,0.5472146182685639,0.5367183382699329,0.1612440206290689,0.3374340949033392
