,topic,post_stance,author_id,num_of_agents_received,num_of_agents_not_received,num_of_spreader_agents,num_of_disinterested_agents,network_polarization,net_polarization2,network_homophily,network_homophily2,network_polarity,satisfaction,activity,user_preference
0,1,0.591063,100,40,60,11,28,0.415113,0.39306324298497913,-0.0015935225461906487,0.034510129345335726,0.010809,0.003089584344660195,0.3296571245132845,0.3295456590278996
1,3,-0.623819,101,8,92,4,4,0.414766,0.39273644559935816,-0.0015935225461906487,0.034510129345335726,0.011133,-0.014769949312297736,0.32577362936765347,0.3276039114550841
2,4,0.698202,102,20,80,7,11,0.41513,0.39314494233138436,-0.0015935225461906487,0.034510129345335726,0.011537,-0.0021471764158576038,0.33354061965891557,0.3300310959211035
3,4,0.750657,101,3,97,1,1,0.415246,0.39322664167778965,-0.0015935225461906487,0.04299831916745143,0.011456,-0.008004975444983818,0.33208430897930385,0.3295456590278996
4,1,0.327391,100,42,58,12,30,0.415942,0.39403869112959244,-0.0015935225461906487,0.043749999999999886,0.011486,-0.010953296979889043,0.3325064531074632,0.32923452357713673
5,2,-0.488102,101,25,75,8,16,0.415258,0.3933850963583506,-0.006271945338314112,0.043749999999999886,0.012133,-0.025141816041377715,0.3222039736473813,0.32601591639673094
6,5,-0.358212,100,40,60,11,28,0.414669,0.39276178762791175,-0.006271945338314112,0.043749999999999886,0.012325,-0.023310615264678685,0.32531902122019685,0.3269967671734299
7,3,0.569278,101,30,70,9,19,0.415367,0.3934687470394762,-0.007847427404835948,0.043749999999999886,0.011731,-0.004888019730698104,0.3347800357833037,0.3311054470277988
8,1,0.614756,101,6,94,0,2,0.415367,0.3934687470394762,-0.007847427404835948,0.043749999999999886,0.011731,-0.004888019730698104,0.33769265714252694,0.3311054470277988
9,6,0.518027,102,3,97,0,1,0.415367,0.3934687470394762,-0.007847427404835948,0.043749999999999886,0.011731,-0.004888019730698104,0.33914896782213855,0.3311054470277988
10,5,0.425164,100,55,45,13,40,0.416084,0.3942040411571234,-0.01735640492756243,0.029196168816504366,0.011812,0.003195480075127141,0.3430032697638861,0.3317575024646921
11,5,0.424707,100,54,46,12,39,0.41661,0.3946942372355547,-0.01735640492756243,0.033283399084451604,0.011973,0.011236103457004163,0.3478408018027211,0.33286859212488623
12,3,-0.499915,102,28,72,7,18,0.416003,0.39415312324338686,-0.01735640492756243,0.033283399084451604,0.011437,0.0259336233136847,0.36025535131728414,0.33593794989187653
13,2,0.457224,101,9,91,4,5,0.416298,0.3944799206290077,-0.01735640492756243,0.033283399084451604,0.011114,0.03265608933310217,0.36437456005514823,0.3378796974646921
14,2,-0.539854,100,54,46,13,39,0.415387,0.393499528472145,-0.01735640492756243,0.033283399084451604,0.01079,0.04418415652565881,0.37156043287068224,0.34061335280449784
15,6,0.616893,102,33,67,9,21,0.415935,0.39398180214232914,-0.016101618434510565,0.033283399084451604,0.011268,0.061747422753120666,0.3855991463366478,0.3434947468529877
16,6,0.757999,102,38,62,10,26,0.416452,0.39455369756716574,-0.016101618434510565,0.033283399084451604,0.011672,0.07518520297965788,0.3988244377098173,0.3457995788918226
17,4,0.332546,102,44,56,11,32,0.417384,0.39545239037762325,-0.016101618434510565,0.033283399084451604,0.012562,0.08696353781784562,0.4158114440553995,0.35078131093065756
