,topic,post_stance,author_id,num_of_agents_received,num_of_agents_not_received,num_of_spreader_agents,num_of_disinterested_agents,absolute_agg_pol,net_polarization,homophily,homophily_binned,network_polarity,satisfaction,activity,user_preference,met_stance_sim,met_modularity,met_comm_var,met_edge_rat,stat_pub1,stat_pub2,stat_top1,stat_top2,stat_top3,stat_top4,stat_top5,stat_top6
0,6,0.511778,100,58,42,15,40,0.423216,0.4005325271571333,-0.027928141646358567,-0.07131611604689789,0.01846,0.002363349967637541,0.3030075040032738,0.30220161289706604,0.49997105895073646,0.5289617020837598,0.16755172867391746,0.4583333333333333,"[0.8512231200000001, 1.3886096483458241]","[0.8706600000000001, 1.1431297024281206]","[1, 1]","[1, 1]","[1, 1]","[1, 1]","[1, 1]","[0.622, 1.425488732758621]"
1,6,0.418739,100,57,43,16,39,0.423889,0.4013004094696392,-0.027928141646358567,-0.05599589334930373,0.018347,-0.0001187743203883464,0.30532442131544646,0.30143978119727916,0.499276614506292,0.5277725599505428,0.168127598341808,0.4444444444444444,"[0.8512231200000001, 1.3886096483458241]","[0.8706600000000001, 1.1431297024281206]","[1.0, 0.0]","[1.0, 0.0]","[1.0, 0.0]","[1.0, 0.0]","[1.0, 0.0]","[0.5130000000000001, 1.1608726947368422]"
2,1,0.739823,101,32,68,9,21,0.424375,0.4019149329022625,-0.02418207681365576,-0.05599589334930373,0.017738,0.009726988236245957,0.31438483976204845,0.3036050368607096,0.49915763097832505,0.5270829782353327,0.16853174420217978,0.4444444444444444,"[0.8512231200000001, 1.3886096483458241]","[0.8706600000000001, 1.1431297024281206]","[0.388, 2.31337276875]","[1.0, 0.0]","[1.0, 0.0]","[1.0, 0.0]","[1.0, 0.0]","[0.0, 1.0]"
3,4,0.353797,102,26,74,10,15,0.42499,0.40253471553454867,-0.027055299320051386,-0.05599589334930373,0.018028,0.012911465744336574,0.3208276824804949,0.30502059042058016,0.498576543572439,0.5266994015372123,0.16895870923781395,0.4444444444444444,"[0.8512231200000001, 1.3886096483458241]","[0.8706600000000001, 1.1431297024281206]","[0.388, 1.0]","[1.0, 0.0]","[1.0, 0.0]","[0.334, 1.4043306461538465]","[1.0, 0.0]","[0.0, 0.4322692881616034]"
4,3,0.293905,101,4,96,1,2,0.425115,0.4026164148809539,-0.027055299320051386,-0.05599589334930373,0.017947,0.01389147156957929,0.32276943005331044,0.305506027313784,0.4985302472761427,0.5265605126483234,0.16907151015752545,0.4444444444444444,"[0.8512231200000001, 1.3886096483458241]","[0.8706600000000001, 1.1431297024281206]","[0.388, 0.7120830145940207]","[1.0, 0.0]","[0.136, 1.879445925]","[0.334, 1.0]","[1.0, 0.0]","[0.0, 0.307811617830526]"
5,2,-0.724554,100,54,46,15,38,0.424279,0.4016291952159545,-0.027055299320051386,-0.07131611604689789,0.017703,0.020253511981044848,0.3257326802839489,0.3071472511001918,0.49908098566341824,0.5271666508095713,0.16855864297650117,0.4583333333333333,"[0.8512231200000001, 1.3886096483458241]","[0.8706600000000001, 1.1431297024281206]","[0.388, 0.3788792245214614]","[0.5860000000000001, 1.9082264666666668]","[0.136, 1.0]","[0.334, 0.5320717061864921]","[1.0, 0.0]","[0.0, 0.16377785268311246]"
6,2,0.722677,100,67,33,20,45,0.425675,0.4031385871316233,-0.027055299320051386,-0.07131611604689789,0.018474,-0.004401640607951918,0.32017487968947356,0.30413770509828475,0.49792473765194656,0.5256515285199682,0.1697179617011129,0.4583333333333333,"[0.8512231200000001, 1.3886096483458241]","[0.8706600000000001, 1.1431297024281206]","[0.388, 0.19855045045219197]","[0.6616000000000001, 1.9322215044776114]","[0.136, 0.524046813870485]","[0.334, 0.278830482377664]","[1.0, 0.0]","[0.0, 0.08582726188113475]"
7,2,-0.455701,101,33,67,10,22,0.425066,0.402452739111985,-0.03066024516123472,-0.07131611604689789,0.019105,-0.011606349167822464,0.3127234850317118,0.3015950105468047,0.49850629419838915,0.5262295968581757,0.16926676747915947,0.4583333333333333,"[0.8512231200000001, 1.3886096483458241]","[0.8706600000000001, 1.1431297024281206]","[0.388, 0.10275760309678955]","[0.36316000000000004, -1.128101081818182]","[0.136, 0.27121466801611055]","[0.334, 0.14430565115413496]","[1.0, 0.0]","[0.0, 0.044418955943841806]"
8,1,0.362815,101,44,56,12,30,0.425828,0.40329063760179384,-0.024822618559813672,-0.07131611604689789,0.018437,-0.0031216780513176165,0.325440524837537,0.305188979721562,0.49791520009904744,0.5251078381003746,0.16985969549213342,0.4583333333333333,"[0.8512231200000001, 1.3886096483458241]","[0.8706600000000001, 1.1431297024281206]","[0.4348, 1.4141712163994242]","[0.36316000000000004, 0.0]","[0.136, 1.0]","[0.334, 0.9093063757218454]","[1.0, 0.8061805078316114]","[0.0, 0.8379238480670813]"
9,5,-0.456326,101,14,86,2,8,0.425677,0.4031272389089834,-0.024822618559813672,-0.07131611604689789,0.018598,0.00037581191631992574,0.3318730821190905,0.3061598535079698,0.4979846445434919,0.5252488836490289,0.1697311452542124,0.4583333333333333,"[0.8512231200000001, 1.3886096483458241]","[0.8706600000000001, 1.1431297024281206]","[0.4348, 1.0]","[0.36316000000000004, 0.0]","[0.136, 0.7071279548073873]","[0.334, 0.6429959577575062]","[0.22600000000000003, 2.6157191702279983]","[0.0, 0.5925193769680112]"
