,topic,post_stance,author_id,num_of_agents_received,num_of_agents_not_received,num_of_spreader_agents,num_of_disinterested_agents,network_polarization,net_polarization2,network_homophily,network_homophily2,network_polarity,satisfaction,activity,user_preference
0,4,0.0,100,50,50,10,40,0.440648,0.415899456342998,-0.008759789288102107,-0.044209920713399596,0.010413,0.0,0.260916760927459,0.260916760927459
1,6,1.0,102,59,41,11,48,0.440865,0.41622625372861893,-0.008759789288102107,-0.044209920713399596,0.010413,-0.006465702556634305,0.2643226572381852,0.2606948376019918
2,3,1.0,101,46,54,9,36,0.441322,0.4167175265656782,-0.007721268585284914,-0.044209920713399596,0.009926,0.008423112216828477,0.2736391385687654,0.2631220220680112
3,3,0.362963,101,47,53,9,37,0.441814,0.41725339869038974,-0.007721268585284914,-0.03833211672334287,0.009558,0.00891741485436893,0.2807148961514435,0.2641422179417977
4,3,0.663731,101,38,62,7,30,0.442233,0.41772998456526034,-0.010208376736295644,-0.03833211672334287,0.009086,0.02141867381877023,0.2912768602291134,0.2665694024078171
5,2,0.0,100,55,45,10,45,0.442233,0.41772998456526034,-0.010208376736295644,-0.03833211672334287,0.009086,0.02141867381877023,0.2912768602291134,0.2665694024078171
6,6,0.0,100,45,55,9,35,0.442233,0.41772998456526034,-0.010208376736295644,-0.03833211672334287,0.009086,0.02141867381877023,0.2912768602291134,0.2665694024078171
7,2,1.0,101,48,52,10,38,0.442892,0.41835131247491375,-0.01187140164059714,-0.03833211672334287,0.008794,0.016006436521035595,0.29786645731649203,0.26574524049268056
8,5,-1.0,101,53,47,10,43,0.442175,0.41753431901086147,-0.012804548950944928,-0.03833211672334287,0.008794,0.007235325291262139,0.30354875916689045,0.2643462029542239
9,5,1.0,102,46,54,8,36,0.442706,0.41794281574288755,-0.012804548950944928,-0.03794039515674317,0.008713,0.0008434155177993541,0.30806393295329815,0.26349098567267043
10,3,0.387282,101,48,52,9,38,0.443188,0.4185129718179146,-0.011906976744186058,-0.018179754197703554,0.008148,0.008293150989366624,0.3174209115940749,0.2662633159986067
