,topic,post_stance,author_id,num_of_agents_received,num_of_agents_not_received,num_of_spreader_agents,num_of_disinterested_agents,network_polarization,net_polarization2,network_homophily,network_homophily2,network_polarity,satisfaction,activity,user_preference
0,6,0.665085,102,55,48,11,44,0.435544,0.40988440877047205,0.028414532916161174,0.16109194455022358,-0.004333,-0.004416065339805824,0.5044467781458085,0.497357778064535
1,5,-0.519492,101,56,47,11,45,0.434951,0.40906741530641977,0.028910587784798,0.15062383084381484,-0.004494,-0.005480148559870548,0.5090387850117948,0.49820037874414663
2,6,-0.468517,102,55,48,11,44,0.434144,0.4083321211887727,0.025490638393864205,0.15062383084381484,-0.004252,-0.002445076003236244,0.5043274896995775,0.49940142602742194
3,4,-0.931225,101,56,47,11,45,0.433568,0.4075151277247204,0.025490638393864205,0.15062383084381484,-0.004413,-0.010111449708737863,0.5088315761950895,0.4993972486811436
4,5,-0.699321,102,55,48,11,44,0.432775,0.40677983360707337,0.03057985402455079,0.15062383084381484,-0.004171,-0.006468270064724922,0.5067256363996394,0.49988268557434756
5,4,-0.858464,101,56,47,11,45,0.432216,0.4059628401430211,0.028889928945241006,0.13538391076804496,-0.004333,-0.013702324822006473,0.511194009062212,0.4999167640533119
6,5,0.471599,102,55,48,11,44,0.433002,0.40669492786464567,0.028889928945241006,0.15062383084381484,-0.004578,-0.016121006181229778,0.5165948614893965,0.49894589026690417
7,5,-0.649672,101,56,45,11,45,0.432356,0.4059596337469986,0.028889928945241006,0.15062383084381484,-0.004821,-0.018542706278317157,0.5206814458155157,0.5004545141503993
8,3,0.553563,101,56,47,11,45,0.432911,0.4067766272110509,0.028889928945241006,0.15062383084381484,-0.004659,-0.02733975393203884,0.5233793555242535,0.4998978824351889
9,5,0.506919,102,55,48,11,44,0.433509,0.40735172903190997,0.02786151612163621,0.15062383084381484,-0.004899,-0.02985433690938512,0.5287695438737682,0.4989270086487812
10,5,-0.412853,101,70,33,13,57,0.432825,0.4065401139995297,0.01986431259075123,0.11364855918324672,-0.005228,-0.031202008039759605,0.5343683452721861,0.4987523856252028
11,5,0.0,100,90,7,13,77,0.432825,0.4065401139995297,0.01986431259075123,0.11364855918324672,-0.005228,-0.031202008039759605,0.5343683452721861,0.4987523856252028
12,2,-0.379764,100,90,7,13,77,0.432258,0.40594878623615216,0.01811993872888576,0.11364855918324672,-0.005328,-0.03352837971991062,0.5354601841071377,0.49906185693048866
13,2,0.482571,100,90,7,13,77,0.432829,0.4065453745310935,0.01986431259075123,0.11364855918324672,-0.005223,-0.03066536104946834,0.534787936534322,0.4996394816608015
